Date,Zone_ID,Zone_Name,System_Input_m3,Billed_Authorized_Consumption_m3,Unbilled_Authorized_Consumption_m3,Apparent_Loss_m3,Real_Loss_m3,NRW_Volume_m3,NRW_Percentage,Data_Reliability_pct,Status
2026-06-02,DMA-04,Yamuna Bank Pocket,15020.24,12424.43,567.82,521.22,1506.77,2595.81,17.28,97.4,Normal
2026-06-02,DMA-05,Wazirabad Link,17997.95,14205.13,611.95,646.05,2534.82,3792.81,21.07,95.2,Normal
2026-06-02,DMA-06,Sangam Extension,16431.51,13698.12,521.42,604.6,1607.37,2733.39,16.64,97.6,Normal
2026-06-03,DMA-01,Sonia Vihar North,20233.49,16524.83,738.05,687.29,2283.32,3708.66,18.33,96.2,Normal
2026-06-03,DMA-02,Sonia Vihar Central,21904.81,17509.36,791.07,722.93,2881.46,4395.46,20.07,97.2,Normal
2026-06-03,DMA-03,Bhagirathi Corridor,18856.01,14585.25,646.52,642.62,2981.62,4270.76,22.65,97.7,Normal
2026-06-03,DMA-04,Yamuna Bank Pocket,15393.0,12437.2,545.02,492.11,1918.67,2955.8,19.2,96.7,Normal
2026-06-03,DMA-05,Wazirabad Link,17371.23,13693.39,592.73,583.03,2502.08,3677.84,21.17,95.9,Normal
2026-06-03,DMA-06,Sangam Extension,16397.91,13616.32,553.98,586.74,1640.87,2781.59,16.96,97.3,Normal
2026-06-04,DMA-01,Sonia Vihar North,20103.3,16341.53,764.63,627.99,2369.15,3761.77,18.71,95.0,Normal
2026-06-04,DMA-02,Sonia Vihar Central,22203.59,17799.71,743.38,799.62,2860.88,4403.88,19.83,94.7,Normal
2026-06-04,DMA-03,Bhagirathi Corridor,18599.74,14199.54,679.0,670.53,3050.68,4400.21,23.66,94.6,Normal
2026-06-04,DMA-04,Yamuna Bank Pocket,15603.99,12348.68,543.23,537.54,2174.55,3255.31,20.86,97.9,Normal
2026-06-04,DMA-05,Wazirabad Link,17267.19,13517.57,606.2,537.32,2606.11,3749.63,21.72,97.0,Normal
2026-06-04,DMA-06,Sangam Extension,16304.03,13631.23,583.88,519.18,1569.73,2672.79,16.39,95.6,Normal
2026-06-05,DMA-01,Sonia Vihar North,20440.88,16897.9,704.17,733.64,2105.17,3542.98,17.33,99.5,Normal
2026-06-05,DMA-02,Sonia Vihar Central,22599.47,18226.21,780.17,815.53,2777.57,4373.26,19.35,98.3,Normal
2026-06-05,DMA-03,Bhagirathi Corridor,19208.2,14152.09,652.89,701.19,3702.03,5056.11,26.32,95.1,Warning
2026-06-05,DMA-04,Yamuna Bank Pocket,15280.02,12330.06,515.05,504.0,1930.92,2949.96,19.31,98.8,Normal
2026-06-05,DMA-05,Wazirabad Link,17065.23,13088.51,564.4,634.7,2777.62,3976.72,23.3,97.4,Normal
2026-06-05,DMA-06,Sangam Extension,16858.15,13939.09,592.72,563.42,1762.92,2919.06,17.32,98.2,Normal
2026-06-06,DMA-01,Sonia Vihar North,20867.23,17582.27,689.58,681.36,1914.01,3284.96,15.74,97.5,Normal
2026-06-06,DMA-02,Sonia Vihar Central,22990.74,18024.58,846.92,864.84,3254.41,4966.16,21.6,97.1,Normal
2026-06-06,DMA-03,Bhagirathi Corridor,19508.25,14751.74,697.46,603.36,3455.7,4756.51,24.38,96.9,Normal
2026-06-06,DMA-04,Yamuna Bank Pocket,15941.34,12803.75,552.02,560.64,2024.93,3137.59,19.68,97.2,Normal
2026-06-06,DMA-05,Wazirabad Link,18331.17,14127.12,679.41,645.86,2878.79,4204.05,22.93,97.3,Normal
2026-06-06,DMA-06,Sangam Extension,17115.44,14083.67,616.4,605.86,1809.51,3031.77,17.71,99.7,Normal
2026-06-07,DMA-01,Sonia Vihar North,21022.78,17601.6,735.18,733.13,1952.87,3421.18,16.27,95.9,Normal
2026-06-07,DMA-02,Sonia Vihar Central,23657.54,18639.12,847.98,789.81,3380.63,5018.41,21.21,97.3,Normal
2026-06-07,DMA-03,Bhagirathi Corridor,19666.83,14846.79,692.07,688.13,3439.84,4820.04,24.51,97.7,Normal
2026-06-07,DMA-04,Yamuna Bank Pocket,16739.02,13491.88,590.5,555.4,2101.24,3247.14,19.4,96.1,Normal
2026-06-07,DMA-05,Wazirabad Link,18546.21,14558.35,636.51,677.77,2673.58,3987.86,21.5,96.2,Normal
2026-06-07,DMA-06,Sangam Extension,16770.36,14128.72,626.48,572.36,1442.79,2641.64,15.75,97.9,Normal
2026-06-08,DMA-01,Sonia Vihar North,20843.99,17127.58,722.41,707.55,2286.45,3716.4,17.83,97.2,Normal
2026-06-08,DMA-02,Sonia Vihar Central,22177.19,17798.61,818.53,774.31,2785.74,4378.58,19.74,97.7,Normal
2026-06-08,DMA-03,Bhagirathi Corridor,18912.59,14710.93,662.01,675.16,2864.49,4201.67,22.22,96.8,Normal
2026-06-08,DMA-04,Yamuna Bank Pocket,15846.27,12588.82,521.97,609.92,2125.56,3257.45,20.56,96.1,Normal
2026-06-08,DMA-05,Wazirabad Link,16767.13,13165.26,588.44,555.28,2458.15,3601.88,21.48,97.2,Normal
2026-06-08,DMA-06,Sangam Extension,16080.65,13097.73,576.08,565.8,1841.05,2982.93,18.55,97.8,Normal
2026-06-09,DMA-01,Sonia Vihar North,19988.56,16600.18,665.76,701.19,2021.43,3388.38,16.95,96.4,Normal
2026-06-09,DMA-02,Sonia Vihar Central,21837.37,17406.53,784.0,755.58,2891.25,4430.84,20.29,96.7,Normal
2026-06-09,DMA-03,Bhagirathi Corridor,18739.19,14259.49,626.81,647.32,3205.57,4479.7,23.91,95.9,Normal
2026-06-09,DMA-04,Yamuna Bank Pocket,15823.73,12223.6,550.54,572.27,2477.32,3600.14,22.75,97.2,Normal
2026-06-09,DMA-05,Wazirabad Link,16980.81,12731.18,604.5,622.37,3022.77,4249.63,25.03,96.8,Warning
2026-06-09,DMA-06,Sangam Extension,16664.38,13876.42,582.71,596.84,1608.41,2787.96,16.73,97.0,Normal
2026-06-10,DMA-01,Sonia Vihar North,21041.03,17419.41,738.45,803.02,2080.15,3621.62,17.21,96.3,Normal
2026-06-10,DMA-02,Sonia Vihar Central,22594.84,17993.79,831.62,805.05,2964.37,4601.04,20.36,96.7,Normal
2026-06-10,DMA-03,Bhagirathi Corridor,18700.59,14315.59,726.16,605.65,3053.19,4385.0,23.45,98.3,Normal
2026-06-10,DMA-04,Yamuna Bank Pocket,16014.72,12972.13,562.31,548.64,1931.65,3042.59,19.0,96.4,Normal
2026-06-10,DMA-05,Wazirabad Link,17693.52,13982.76,570.71,593.57,2546.48,3710.76,20.97,96.8,Normal
2026-06-10,DMA-06,Sangam Extension,16115.99,13511.27,549.73,643.33,1411.66,2604.72,16.16,96.4,Normal
2026-06-11,DMA-01,Sonia Vihar North,19958.24,16621.71,690.0,729.95,1916.58,3336.53,16.72,98.7,Normal
2026-06-11,DMA-02,Sonia Vihar Central,22917.75,17987.81,740.61,868.24,3321.09,4929.93,21.51,95.3,Normal
2026-06-11,DMA-03,Bhagirathi Corridor,19673.45,14922.68,679.42,670.87,3400.47,4750.76,24.15,97.1,Normal
2026-06-11,DMA-04,Yamuna Bank Pocket,15350.3,12362.66,535.22,508.11,1944.32,2987.64,19.46,95.8,Normal
2026-06-11,DMA-05,Wazirabad Link,17152.33,12939.29,552.95,637.98,3022.11,4213.05,24.56,98.6,Normal
2026-06-11,DMA-06,Sangam Extension,16702.49,14003.82,598.44,598.19,1502.04,2698.67,16.16,96.1,Normal
2026-06-12,DMA-01,Sonia Vihar North,20932.39,16922.08,825.4,714.07,2470.85,4010.32,19.16,95.8,Normal
2026-06-12,DMA-02,Sonia Vihar Central,24152.7,18775.73,879.16,860.09,3637.73,5376.97,22.26,97.9,Normal
2026-06-12,DMA-03,Bhagirathi Corridor,19262.29,14815.62,622.63,685.75,3138.29,4446.67,23.08,97.4,Normal
2026-06-12,DMA-04,Yamuna Bank Pocket,15902.14,12720.62,533.51,531.75,2116.26,3181.51,20.01,96.9,Normal
2026-06-12,DMA-05,Wazirabad Link,16758.49,12962.78,572.54,578.95,2644.22,3795.71,22.65,100.1,Normal
2026-06-12,DMA-06,Sangam Extension,15929.83,12678.95,567.07,534.55,2149.27,3250.88,20.41,98.5,Normal
2026-06-13,DMA-01,Sonia Vihar North,21332.77,17517.83,696.69,748.94,2369.3,3814.94,17.88,98.7,Normal
2026-06-13,DMA-02,Sonia Vihar Central,23953.48,18974.91,786.92,859.03,3332.62,4978.57,20.78,97.5,Normal
2026-06-13,DMA-03,Bhagirathi Corridor,20288.57,15488.95,730.54,696.83,3372.26,4799.62,23.66,96.3,Normal
2026-06-13,DMA-04,Yamuna Bank Pocket,16575.45,13311.69,588.09,584.13,2091.55,3263.76,19.69,94.3,Normal
2026-06-13,DMA-05,Wazirabad Link,18415.24,14509.99,625.36,666.58,2613.31,3905.25,21.21,96.8,Normal
2026-06-13,DMA-06,Sangam Extension,17187.42,14118.57,600.8,553.57,1914.47,3068.85,17.86,96.6,Normal
2026-06-14,DMA-01,Sonia Vihar North,22403.06,18415.83,771.49,770.14,2445.59,3987.22,17.8,96.1,Normal
2026-06-14,DMA-02,Sonia Vihar Central,23510.86,18296.71,854.43,858.13,3501.59,5214.15,22.18,97.9,Normal
2026-06-14,DMA-03,Bhagirathi Corridor,20135.85,15520.18,716.19,752.08,3147.41,4615.68,22.92,97.6,Normal
2026-06-14,DMA-04,Yamuna Bank Pocket,16140.88,12900.84,590.12,578.21,2071.71,3240.04,20.07,96.3,Normal
2026-06-14,DMA-05,Wazirabad Link,18166.77,14007.17,661.84,678.39,2819.36,4159.6,22.9,95.0,Normal
2026-06-14,DMA-06,Sangam Extension,17313.46,14139.86,563.88,645.48,1964.24,3173.6,18.33,98.5,Normal
2026-06-15,DMA-01,Sonia Vihar North,20510.25,16691.59,707.71,695.93,2415.03,3818.66,18.62,99.6,Normal
2026-06-15,DMA-02,Sonia Vihar Central,23407.67,18720.58,822.29,768.86,3095.94,4687.09,20.02,96.7,Normal
2026-06-15,DMA-03,Bhagirathi Corridor,18729.82,14089.94,700.43,716.71,3222.75,4639.88,24.77,96.8,Normal
2026-06-15,DMA-04,Yamuna Bank Pocket,16002.89,12860.54,539.23,592.86,2010.26,3142.35,19.64,99.1,Normal
2026-06-15,DMA-05,Wazirabad Link,17523.78,13580.06,638.63,606.04,2699.04,3943.72,22.5,98.2,Normal
2026-06-15,DMA-06,Sangam Extension,16926.97,13915.49,610.23,584.32,1816.93,3011.48,17.79,98.5,Normal
2026-06-16,DMA-01,Sonia Vihar North,20428.04,17135.43,804.18,686.94,1801.5,3292.62,16.12,97.4,Normal
2026-06-16,DMA-02,Sonia Vihar Central,23000.43,18121.51,831.48,790.27,3257.16,4878.92,21.21,95.0,Normal
2026-06-16,DMA-03,Bhagirathi Corridor,19071.34,14660.52,641.43,656.13,3113.26,4410.83,23.13,96.8,Normal
2026-06-16,DMA-04,Yamuna Bank Pocket,15876.45,12892.63,570.41,525.53,1887.89,2983.82,18.79,96.6,Normal
2026-06-16,DMA-05,Wazirabad Link,17201.62,13363.66,631.62,641.72,2564.63,3837.97,22.31,98.3,Normal
2026-06-16,DMA-06,Sangam Extension,16897.68,14041.86,577.02,557.57,1721.23,2855.82,16.9,96.6,Normal
2026-06-17,DMA-01,Sonia Vihar North,19990.5,16846.8,730.1,667.78,1745.8,3143.69,15.73,96.8,Normal
2026-06-17,DMA-02,Sonia Vihar Central,22010.78,17225.6,756.25,758.06,3270.87,4785.18,21.74,96.5,Normal
2026-06-17,DMA-03,Bhagirathi Corridor,18747.16,14186.1,694.2,657.34,3209.51,4561.05,24.33,97.0,Normal
2026-06-17,DMA-04,Yamuna Bank Pocket,15432.21,12324.14,505.84,533.26,2068.97,3108.07,20.14,98.6,Normal
2026-06-17,DMA-05,Wazirabad Link,16977.52,13308.78,630.59,602.58,2435.57,3668.74,21.61,96.6,Normal
2026-06-17,DMA-06,Sangam Extension,16584.38,13759.44,606.03,589.7,1629.2,2824.94,17.03,94.9,Normal
2026-06-18,DMA-01,Sonia Vihar North,20124.86,16562.56,741.72,732.48,2088.1,3562.3,17.7,98.2,Normal
2026-06-18,DMA-02,Sonia Vihar Central,22230.48,17394.05,755.79,750.83,3329.81,4836.43,21.76,99.9,Normal
2026-06-18,DMA-03,Bhagirathi Corridor,19578.42,14613.61,699.35,681.1,3584.37,4964.81,25.36,96.6,Warning
2026-06-18,DMA-04,Yamuna Bank Pocket,15842.95,12581.04,541.51,568.54,2151.85,3261.9,20.59,98.8,Normal
2026-06-18,DMA-05,Wazirabad Link,18168.74,14286.45,608.77,659.51,2614.01,3882.29,21.37,96.5,Normal
2026-06-18,DMA-06,Sangam Extension,16329.79,13875.22,612.17,597.79,1244.61,2454.56,15.03,99.2,Normal
2026-06-19,DMA-01,Sonia Vihar North,19217.58,15599.61,695.12,672.01,2250.83,3617.97,18.83,98.5,Normal
2026-06-19,DMA-02,Sonia Vihar Central,21669.56,17434.0,779.31,764.1,2692.16,4235.57,19.55,94.9,Normal
2026-06-19,DMA-03,Bhagirathi Corridor,19769.64,14764.43,644.82,714.49,3645.91,5005.22,25.32,98.5,Warning
2026-06-19,DMA-04,Yamuna Bank Pocket,15563.61,12297.0,532.76,556.78,2177.08,3266.62,20.99,96.3,Normal
2026-06-19,DMA-05,Wazirabad Link,17821.88,13736.8,574.81,673.52,2836.75,4085.07,22.92,96.1,Normal
2026-06-19,DMA-06,Sangam Extension,16528.13,13832.29,559.9,596.77,1539.17,2695.84,16.31,96.5,Normal
2026-06-20,DMA-01,Sonia Vihar North,21051.95,17251.22,801.54,748.53,2250.67,3800.73,18.05,98.2,Normal
2026-06-20,DMA-02,Sonia Vihar Central,23483.93,18407.57,836.32,816.46,3423.58,5076.35,21.62,96.4,Normal
2026-06-20,DMA-03,Bhagirathi Corridor,20033.18,15325.39,679.38,732.51,3295.9,4707.79,23.5,97.0,Normal
2026-06-20,DMA-04,Yamuna Bank Pocket,16725.7,13248.03,560.15,571.99,2345.53,3477.67,20.79,97.0,Normal
2026-06-20,DMA-05,Wazirabad Link,18058.79,14355.55,606.89,569.57,2526.78,3703.24,20.51,97.0,Normal
2026-06-20,DMA-06,Sangam Extension,17351.77,14326.3,614.02,583.75,1827.71,3025.48,17.44,95.8,Normal
2026-06-21,DMA-01,Sonia Vihar North,21724.61,17978.65,782.55,781.47,2181.94,3745.97,17.24,97.5,Normal
2026-06-21,DMA-02,Sonia Vihar Central,23351.9,18641.01,783.6,868.2,3059.08,4710.88,20.17,98.2,Normal
2026-06-21,DMA-03,Bhagirathi Corridor,18926.99,14561.01,689.53,742.19,2934.26,4365.99,23.07,95.6,Normal
2026-06-21,DMA-04,Yamuna Bank Pocket,15837.54,12863.97,566.71,517.03,1889.83,2973.58,18.78,99.6,Normal
2026-06-21,DMA-05,Wazirabad Link,17982.34,13940.87,653.95,700.61,2686.91,4041.47,22.47,96.4,Normal
2026-06-21,DMA-06,Sangam Extension,17392.34,14221.37,607.45,661.83,1901.69,3170.98,18.23,98.9,Normal
2026-06-22,DMA-01,Sonia Vihar North,20173.54,16768.08,712.27,703.3,1989.88,3405.46,16.88,94.7,Normal
2026-06-22,DMA-02,Sonia Vihar Central,22084.82,17174.52,784.94,741.75,3383.62,4910.3,22.23,94.1,Normal
2026-06-22,DMA-03,Bhagirathi Corridor,18882.04,14476.36,636.41,584.39,3184.88,4405.68,23.33,96.6,Normal
2026-06-22,DMA-04,Yamuna Bank Pocket,15269.55,11956.1,529.74,524.16,2259.55,3313.45,21.7,96.0,Normal
2026-06-22,DMA-05,Wazirabad Link,17415.1,13606.24,597.04,615.72,2596.1,3808.86,21.87,96.9,Normal
2026-06-22,DMA-06,Sangam Extension,15939.89,13246.23,574.67,551.73,1567.27,2693.67,16.9,100.2,Normal
2026-06-23,DMA-01,Sonia Vihar North,20384.59,16824.65,720.88,735.91,2103.14,3559.94,17.46,97.8,Normal
2026-06-23,DMA-02,Sonia Vihar Central,21989.17,17436.9,758.25,747.71,3046.31,4552.26,20.7,96.8,Normal
2026-06-23,DMA-03,Bhagirathi Corridor,18626.46,14434.56,625.16,659.91,2906.84,4191.9,22.51,97.3,Normal
2026-06-23,DMA-04,Yamuna Bank Pocket,15501.08,12613.67,556.83,498.9,1831.68,2887.41,18.63,98.9,Normal
2026-06-23,DMA-05,Wazirabad Link,18308.41,14707.44,655.96,605.73,2339.27,3600.97,19.67,97.2,Normal
2026-06-23,DMA-06,Sangam Extension,15793.98,13309.68,568.38,614.11,1301.82,2484.31,15.73,98.1,Normal
2026-06-24,DMA-01,Sonia Vihar North,19980.86,16719.2,697.13,694.44,1870.08,3261.66,16.32,97.4,Normal
2026-06-24,DMA-02,Sonia Vihar Central,22060.26,17278.74,866.25,819.79,3095.49,4781.52,21.67,97.8,Normal
2026-06-24,DMA-03,Bhagirathi Corridor,18752.78,13948.54,690.0,639.78,3474.47,4804.25,25.62,96.7,Warning
2026-06-24,DMA-04,Yamuna Bank Pocket,15952.41,12462.38,554.9,564.05,2371.08,3490.03,21.88,97.9,Normal
2026-06-24,DMA-05,Wazirabad Link,17088.61,13023.46,604.27,572.09,2888.8,4065.15,23.79,97.7,Normal
2026-06-24,DMA-06,Sangam Extension,16769.73,13958.95,550.78,593.87,1666.13,2810.78,16.76,97.3,Normal
2026-06-25,DMA-01,Sonia Vihar North,20025.47,16749.94,708.29,708.1,1859.15,3275.53,16.36,97.0,Normal
2026-06-25,DMA-02,Sonia Vihar Central,23297.36,18833.7,802.33,853.78,2807.54,4463.66,19.16,97.0,Normal
2026-06-25,DMA-03,Bhagirathi Corridor,19054.87,14330.56,660.65,613.76,3449.9,4724.31,24.79,97.0,Normal
2026-06-25,DMA-04,Yamuna Bank Pocket,15262.55,11966.92,537.22,505.52,2252.89,3295.63,21.59,96.2,Normal
2026-06-25,DMA-05,Wazirabad Link,18114.46,13921.36,624.31,601.1,2967.69,4193.1,23.15,98.8,Normal
2026-06-25,DMA-06,Sangam Extension,16409.77,13851.92,586.67,580.6,1390.58,2557.85,15.59,97.7,Normal
2026-06-26,DMA-01,Sonia Vihar North,19492.23,15709.37,698.9,692.89,2391.07,3782.86,19.41,95.6,Normal
2026-06-26,DMA-02,Sonia Vihar Central,22376.03,17606.28,822.73,793.15,3153.87,4769.75,21.32,97.5,Normal
2026-06-26,DMA-03,Bhagirathi Corridor,18378.32,13898.61,616.29,643.86,3219.56,4479.71,24.37,97.0,Normal
2026-06-26,DMA-04,Yamuna Bank Pocket,15872.16,12931.18,553.83,493.45,1893.7,2940.98,18.53,98.8,Normal
2026-06-26,DMA-05,Wazirabad Link,17564.37,13525.77,743.91,617.31,2677.38,4038.6,22.99,96.2,Normal
2026-06-26,DMA-06,Sangam Extension,16144.04,13600.04,548.08,523.38,1472.54,2544.01,15.76,98.6,Normal
2026-06-27,DMA-01,Sonia Vihar North,21408.8,17423.45,783.15,754.12,2448.07,3985.35,18.62,96.6,Normal
2026-06-27,DMA-02,Sonia Vihar Central,23289.33,18501.12,861.25,833.2,3093.76,4788.2,20.56,99.3,Normal
2026-06-27,DMA-03,Bhagirathi Corridor,18987.27,14231.84,604.94,650.22,3500.28,4755.44,25.05,99.2,Warning
2026-06-27,DMA-04,Yamuna Bank Pocket,16640.54,13474.22,591.94,562.93,2011.45,3166.32,19.03,98.9,Normal
2026-06-27,DMA-05,Wazirabad Link,17898.1,13924.54,686.33,643.7,2643.53,3973.56,22.2,98.1,Normal
2026-06-27,DMA-06,Sangam Extension,16938.81,13768.47,553.23,574.42,2042.69,3170.33,18.72,96.6,Normal
2026-06-28,DMA-01,Sonia Vihar North,21415.97,17620.54,753.81,774.54,2267.07,3795.42,17.72,97.4,Normal
2026-06-28,DMA-02,Sonia Vihar Central,24020.62,19100.19,846.73,812.59,3261.1,4920.43,20.48,97.7,Normal
2026-06-28,DMA-03,Bhagirathi Corridor,19030.54,14734.69,699.84,657.51,2938.49,4295.84,22.57,96.5,Normal
2026-06-28,DMA-04,Yamuna Bank Pocket,16771.57,13405.62,613.36,618.1,2134.48,3365.94,20.07,96.0,Normal
2026-06-28,DMA-05,Wazirabad Link,17466.03,13602.63,638.56,609.77,2615.06,3863.39,22.12,98.3,Normal
2026-06-28,DMA-06,Sangam Extension,16651.03,13439.87,584.98,552.56,2073.61,3211.16,19.29,96.4,Normal
2026-06-29,DMA-01,Sonia Vihar North,20310.42,16916.94,738.03,695.12,1960.33,3393.48,16.71,98.5,Normal
2026-06-29,DMA-02,Sonia Vihar Central,23506.93,18575.57,875.04,909.39,3146.93,4931.36,20.98,98.0,Normal
2026-06-29,DMA-03,Bhagirathi Corridor,18587.79,14241.77,620.87,629.26,3095.88,4346.01,23.38,96.5,Normal
2026-06-29,DMA-04,Yamuna Bank Pocket,15614.55,12545.87,520.21,592.55,1955.91,3068.67,19.65,96.9,Normal
2026-06-29,DMA-05,Wazirabad Link,17092.96,13652.91,623.59,610.6,2205.85,3440.05,20.13,97.5,Normal
2026-06-29,DMA-06,Sangam Extension,16354.81,13575.71,578.79,596.06,1604.26,2779.1,16.99,96.1,Normal
2026-06-30,DMA-01,Sonia Vihar North,20663.16,16787.75,776.47,712.45,2386.49,3875.4,18.76,96.5,Normal
2026-06-30,DMA-02,Sonia Vihar Central,21297.64,16707.1,781.93,801.5,3007.1,4590.54,21.55,94.6,Normal
2026-06-30,DMA-03,Bhagirathi Corridor,18195.24,13934.42,624.26,713.4,2923.16,4260.82,23.42,97.8,Normal
2026-06-30,DMA-04,Yamuna Bank Pocket,16048.3,13059.78,561.64,540.82,1886.06,2988.51,18.62,100.1,Normal
2026-06-30,DMA-05,Wazirabad Link,17035.5,13170.7,605.03,586.65,2673.12,3864.8,22.69,95.8,Normal
2026-06-30,DMA-06,Sangam Extension,16409.18,13668.2,579.99,533.67,1627.32,2740.98,16.7,95.2,Normal
2026-07-01,DMA-01,Sonia Vihar North,20373.76,17009.25,748.38,714.18,1901.95,3364.51,16.51,95.5,Normal
2026-07-01,DMA-02,Sonia Vihar Central,22859.15,18585.86,833.83,869.92,2569.55,4273.29,18.69,98.1,Normal
2026-07-01,DMA-03,Bhagirathi Corridor,19480.69,12509.1,633.35,997.38,5340.87,6971.59,35.79,97.7,Critical
2026-07-01,DMA-04,Yamuna Bank Pocket,15160.91,11721.05,534.18,537.45,2368.23,3439.86,22.69,97.0,Normal
2026-07-01,DMA-05,Wazirabad Link,17905.27,14170.3,665.2,660.04,2409.73,3734.96,20.86,96.6,Normal
2026-07-01,DMA-06,Sangam Extension,16210.96,13312.65,589.0,518.54,1790.76,2898.31,17.88,96.7,Normal
