Date,Sensor_ID,Asset_ID,Network_Element_ID,Zone_ID,Parameter,Unit,Avg_Value,Min_Value,Max_Value,Warning_Count,Critical_Count,Status,Latitude,Longitude
2026-05-27,QT-005,WQS-005,WQS-005,DMA-05,Temperature,C,28.042,25.9,29.7,0,0,Normal,28.712,77.245
2026-05-27,QT-005,WQS-005,WQS-005,DMA-05,Turbidity,NTU,0.909,0.59,1.21,0,0,Normal,28.712,77.245
2026-05-27,QT-005,WQS-005,WQS-005,DMA-05,pH,pH,7.302,7.14,7.44,0,0,Normal,28.712,77.245
2026-05-27,QT-006,WQS-006,WQS-006,DMA-06,Chlorine,mg/L,0.557,0.478,0.634,0,0,Normal,28.731,77.277
2026-05-27,QT-006,WQS-006,WQS-006,DMA-06,Conductivity,uS/cm,684.725,605.7,787.8,0,0,Normal,28.731,77.277
2026-05-27,QT-006,WQS-006,WQS-006,DMA-06,Temperature,C,28.008,25.9,29.7,0,0,Normal,28.731,77.277
2026-05-27,QT-006,WQS-006,WQS-006,DMA-06,Turbidity,NTU,0.912,0.5,1.22,0,0,Normal,28.731,77.277
2026-05-27,QT-006,WQS-006,WQS-006,DMA-06,pH,pH,7.271,7.07,7.47,0,0,Normal,28.731,77.277
2026-05-28,QT-001,WQS-001,WQS-001,DMA-01,Chlorine,mg/L,0.552,0.403,0.678,0,0,Normal,28.738,77.255
2026-05-28,QT-001,WQS-001,WQS-001,DMA-01,Conductivity,uS/cm,680.071,590.3,752.2,0,0,Normal,28.738,77.255
2026-05-28,QT-001,WQS-001,WQS-001,DMA-01,Temperature,C,27.929,25.8,29.9,0,0,Normal,28.738,77.255
2026-05-28,QT-001,WQS-001,WQS-001,DMA-01,Turbidity,NTU,0.874,0.6,1.21,0,0,Normal,28.738,77.255
2026-05-28,QT-001,WQS-001,WQS-001,DMA-01,pH,pH,7.31,7.22,7.48,0,0,Normal,28.738,77.255
2026-05-28,QT-002,WQS-002,WQS-002,DMA-02,Chlorine,mg/L,0.549,0.42,0.636,0,0,Normal,28.726,77.253
2026-05-28,QT-002,WQS-002,WQS-002,DMA-02,Conductivity,uS/cm,676.242,614.4,772.6,0,0,Normal,28.726,77.253
2026-05-28,QT-002,WQS-002,WQS-002,DMA-02,Temperature,C,28.146,26.2,30.2,0,0,Normal,28.726,77.253
2026-05-28,QT-002,WQS-002,WQS-002,DMA-02,Turbidity,NTU,0.911,0.73,1.06,0,0,Normal,28.726,77.253
2026-05-28,QT-002,WQS-002,WQS-002,DMA-02,pH,pH,7.329,7.19,7.51,0,0,Normal,28.726,77.253
2026-05-28,QT-003,WQS-003,WQS-003,DMA-03,Chlorine,mg/L,0.552,0.435,0.688,0,0,Normal,28.717,77.269
2026-05-28,QT-003,WQS-003,WQS-003,DMA-03,Conductivity,uS/cm,680.667,585.4,732.2,0,0,Normal,28.717,77.269
2026-05-28,QT-003,WQS-003,WQS-003,DMA-03,Temperature,C,28.092,26.5,29.9,0,0,Normal,28.717,77.269
2026-05-28,QT-003,WQS-003,WQS-003,DMA-03,Turbidity,NTU,0.888,0.62,1.08,0,0,Normal,28.717,77.269
2026-05-28,QT-003,WQS-003,WQS-003,DMA-03,pH,pH,7.297,7.2,7.47,0,0,Normal,28.717,77.269
2026-05-28,QT-004,WQS-004,WQS-004,DMA-04,Chlorine,mg/L,0.561,0.472,0.645,0,0,Normal,28.705,77.24
2026-05-28,QT-004,WQS-004,WQS-004,DMA-04,Conductivity,uS/cm,682.725,605.7,736.4,0,0,Normal,28.705,77.24
2026-05-28,QT-004,WQS-004,WQS-004,DMA-04,Temperature,C,28.121,26.6,29.7,0,0,Normal,28.705,77.24
2026-05-28,QT-004,WQS-004,WQS-004,DMA-04,Turbidity,NTU,0.922,0.63,1.25,0,0,Normal,28.705,77.24
2026-05-28,QT-004,WQS-004,WQS-004,DMA-04,pH,pH,7.301,7.14,7.48,0,0,Normal,28.705,77.24
2026-05-28,QT-005,WQS-005,WQS-005,DMA-05,Chlorine,mg/L,0.55,0.47,0.641,0,0,Normal,28.712,77.245
2026-05-28,QT-005,WQS-005,WQS-005,DMA-05,Conductivity,uS/cm,687.325,615.7,756.0,0,0,Normal,28.712,77.245
2026-05-28,QT-005,WQS-005,WQS-005,DMA-05,Temperature,C,28.092,26.4,30.1,0,0,Normal,28.712,77.245
2026-05-28,QT-005,WQS-005,WQS-005,DMA-05,Turbidity,NTU,0.902,0.58,1.15,0,0,Normal,28.712,77.245
2026-05-28,QT-005,WQS-005,WQS-005,DMA-05,pH,pH,7.294,7.17,7.55,0,0,Normal,28.712,77.245
2026-05-28,QT-006,WQS-006,WQS-006,DMA-06,Chlorine,mg/L,0.556,0.462,0.675,0,0,Normal,28.731,77.277
2026-05-28,QT-006,WQS-006,WQS-006,DMA-06,Conductivity,uS/cm,678.75,630.4,731.9,0,0,Normal,28.731,77.277
2026-05-28,QT-006,WQS-006,WQS-006,DMA-06,Temperature,C,28.012,26.1,29.7,0,0,Normal,28.731,77.277
2026-05-28,QT-006,WQS-006,WQS-006,DMA-06,Turbidity,NTU,0.876,0.68,1.08,0,0,Normal,28.731,77.277
2026-05-28,QT-006,WQS-006,WQS-006,DMA-06,pH,pH,7.315,7.2,7.43,0,0,Normal,28.731,77.277
2026-05-29,QT-001,WQS-001,WQS-001,DMA-01,Chlorine,mg/L,0.543,0.438,0.641,0,0,Normal,28.738,77.255
2026-05-29,QT-001,WQS-001,WQS-001,DMA-01,Conductivity,uS/cm,674.908,592.9,757.7,0,0,Normal,28.738,77.255
2026-05-29,QT-001,WQS-001,WQS-001,DMA-01,Temperature,C,28.2,26.2,30.3,0,0,Normal,28.738,77.255
2026-05-29,QT-001,WQS-001,WQS-001,DMA-01,Turbidity,NTU,0.895,0.49,1.2,0,0,Normal,28.738,77.255
2026-05-29,QT-001,WQS-001,WQS-001,DMA-01,pH,pH,7.339,7.22,7.47,0,0,Normal,28.738,77.255
2026-05-29,QT-002,WQS-002,WQS-002,DMA-02,Chlorine,mg/L,0.555,0.443,0.627,0,0,Normal,28.726,77.253
2026-05-29,QT-002,WQS-002,WQS-002,DMA-02,Conductivity,uS/cm,682.562,621.1,750.4,0,0,Normal,28.726,77.253
2026-05-29,QT-002,WQS-002,WQS-002,DMA-02,Temperature,C,28.125,26.2,29.8,0,0,Normal,28.726,77.253
2026-05-29,QT-002,WQS-002,WQS-002,DMA-02,Turbidity,NTU,0.901,0.5,1.12,0,0,Normal,28.726,77.253
2026-05-29,QT-002,WQS-002,WQS-002,DMA-02,pH,pH,7.317,7.16,7.49,0,0,Normal,28.726,77.253
2026-05-29,QT-003,WQS-003,WQS-003,DMA-03,Chlorine,mg/L,0.547,0.4,0.634,0,0,Normal,28.717,77.269
2026-05-29,QT-003,WQS-003,WQS-003,DMA-03,Conductivity,uS/cm,683.971,640.4,729.0,0,0,Normal,28.717,77.269
2026-05-29,QT-003,WQS-003,WQS-003,DMA-03,Temperature,C,28.213,26.4,29.8,0,0,Normal,28.717,77.269
2026-05-29,QT-003,WQS-003,WQS-003,DMA-03,Turbidity,NTU,0.928,0.67,1.22,0,0,Normal,28.717,77.269
2026-05-29,QT-003,WQS-003,WQS-003,DMA-03,pH,pH,7.287,7.12,7.45,0,0,Normal,28.717,77.269
2026-05-29,QT-004,WQS-004,WQS-004,DMA-04,Chlorine,mg/L,0.544,0.426,0.644,0,0,Normal,28.705,77.24
2026-05-29,QT-004,WQS-004,WQS-004,DMA-04,Conductivity,uS/cm,684.771,624.8,771.7,0,0,Normal,28.705,77.24
2026-05-29,QT-004,WQS-004,WQS-004,DMA-04,Temperature,C,28.121,26.7,29.9,0,0,Normal,28.705,77.24
2026-05-29,QT-004,WQS-004,WQS-004,DMA-04,Turbidity,NTU,0.94,0.67,1.16,0,0,Normal,28.705,77.24
2026-05-29,QT-004,WQS-004,WQS-004,DMA-04,pH,pH,7.301,7.15,7.42,0,0,Normal,28.705,77.24
2026-05-29,QT-005,WQS-005,WQS-005,DMA-05,Chlorine,mg/L,0.55,0.452,0.642,0,0,Normal,28.712,77.245
2026-05-29,QT-005,WQS-005,WQS-005,DMA-05,Conductivity,uS/cm,678.496,615.4,759.5,0,0,Normal,28.712,77.245
2026-05-29,QT-005,WQS-005,WQS-005,DMA-05,Temperature,C,28.092,26.4,29.7,0,0,Normal,28.712,77.245
2026-05-29,QT-005,WQS-005,WQS-005,DMA-05,Turbidity,NTU,0.93,0.71,1.19,0,0,Normal,28.712,77.245
2026-05-29,QT-005,WQS-005,WQS-005,DMA-05,pH,pH,7.292,7.15,7.42,0,0,Normal,28.712,77.245
2026-05-29,QT-006,WQS-006,WQS-006,DMA-06,Chlorine,mg/L,0.549,0.478,0.634,0,0,Normal,28.731,77.277
2026-05-29,QT-006,WQS-006,WQS-006,DMA-06,Conductivity,uS/cm,675.283,577.5,749.5,0,0,Normal,28.731,77.277
2026-05-29,QT-006,WQS-006,WQS-006,DMA-06,Temperature,C,28.2,26.2,29.9,0,0,Normal,28.731,77.277
2026-05-29,QT-006,WQS-006,WQS-006,DMA-06,Turbidity,NTU,0.909,0.69,1.16,0,0,Normal,28.731,77.277
2026-05-29,QT-006,WQS-006,WQS-006,DMA-06,pH,pH,7.281,7.1,7.46,0,0,Normal,28.731,77.277
2026-05-30,QT-001,WQS-001,WQS-001,DMA-01,Chlorine,mg/L,0.533,0.439,0.598,0,0,Normal,28.738,77.255
2026-05-30,QT-001,WQS-001,WQS-001,DMA-01,Conductivity,uS/cm,677.029,620.9,723.9,0,0,Normal,28.738,77.255
2026-05-30,QT-001,WQS-001,WQS-001,DMA-01,Temperature,C,28.129,26.1,30.0,0,0,Normal,28.738,77.255
2026-05-30,QT-001,WQS-001,WQS-001,DMA-01,Turbidity,NTU,0.979,0.74,1.19,0,0,Normal,28.738,77.255
2026-05-30,QT-001,WQS-001,WQS-001,DMA-01,pH,pH,7.297,7.15,7.45,0,0,Normal,28.738,77.255
2026-05-30,QT-002,WQS-002,WQS-002,DMA-02,Chlorine,mg/L,0.561,0.452,0.661,0,0,Normal,28.726,77.253
2026-05-30,QT-002,WQS-002,WQS-002,DMA-02,Conductivity,uS/cm,684.408,617.7,738.4,0,0,Normal,28.726,77.253
2026-05-30,QT-002,WQS-002,WQS-002,DMA-02,Temperature,C,28.121,26.1,29.9,0,0,Normal,28.726,77.253
2026-05-30,QT-002,WQS-002,WQS-002,DMA-02,Turbidity,NTU,0.909,0.59,1.12,0,0,Normal,28.726,77.253
2026-05-30,QT-002,WQS-002,WQS-002,DMA-02,pH,pH,7.306,7.2,7.46,0,0,Normal,28.726,77.253
2026-05-30,QT-003,WQS-003,WQS-003,DMA-03,Chlorine,mg/L,0.558,0.478,0.631,0,0,Normal,28.717,77.269
2026-05-30,QT-003,WQS-003,WQS-003,DMA-03,Conductivity,uS/cm,673.029,574.7,748.2,0,0,Normal,28.717,77.269
2026-05-30,QT-003,WQS-003,WQS-003,DMA-03,Temperature,C,28.279,26.2,29.9,0,0,Normal,28.717,77.269
2026-05-30,QT-003,WQS-003,WQS-003,DMA-03,Turbidity,NTU,0.909,0.67,1.39,0,0,Normal,28.717,77.269
2026-05-30,QT-003,WQS-003,WQS-003,DMA-03,pH,pH,7.275,7.13,7.48,0,0,Normal,28.717,77.269
2026-05-30,QT-004,WQS-004,WQS-004,DMA-04,Chlorine,mg/L,0.543,0.461,0.643,0,0,Normal,28.705,77.24
2026-05-30,QT-004,WQS-004,WQS-004,DMA-04,Conductivity,uS/cm,682.471,608.7,753.4,0,0,Normal,28.705,77.24
2026-05-30,QT-004,WQS-004,WQS-004,DMA-04,Temperature,C,28.167,26.3,30.1,0,0,Normal,28.705,77.24
2026-05-30,QT-004,WQS-004,WQS-004,DMA-04,Turbidity,NTU,0.845,0.61,1.22,0,0,Normal,28.705,77.24
2026-05-30,QT-004,WQS-004,WQS-004,DMA-04,pH,pH,7.287,7.19,7.46,0,0,Normal,28.705,77.24
2026-05-30,QT-005,WQS-005,WQS-005,DMA-05,Chlorine,mg/L,0.54,0.458,0.611,0,0,Normal,28.712,77.245
2026-05-30,QT-005,WQS-005,WQS-005,DMA-05,Conductivity,uS/cm,687.225,615.2,767.0,0,0,Normal,28.712,77.245
2026-05-30,QT-005,WQS-005,WQS-005,DMA-05,Temperature,C,28.167,26.5,29.7,0,0,Normal,28.712,77.245
2026-05-30,QT-005,WQS-005,WQS-005,DMA-05,Turbidity,NTU,0.93,0.6,1.23,0,0,Normal,28.712,77.245
2026-05-30,QT-005,WQS-005,WQS-005,DMA-05,pH,pH,7.289,7.15,7.42,0,0,Normal,28.712,77.245
2026-05-30,QT-006,WQS-006,WQS-006,DMA-06,Chlorine,mg/L,0.55,0.45,0.626,0,0,Normal,28.731,77.277
2026-05-30,QT-006,WQS-006,WQS-006,DMA-06,Conductivity,uS/cm,679.742,603.1,790.3,0,0,Normal,28.731,77.277
2026-05-30,QT-006,WQS-006,WQS-006,DMA-06,Temperature,C,28.171,26.5,30.0,0,0,Normal,28.731,77.277
2026-05-30,QT-006,WQS-006,WQS-006,DMA-06,Turbidity,NTU,0.881,0.54,1.14,0,0,Normal,28.731,77.277
2026-05-30,QT-006,WQS-006,WQS-006,DMA-06,pH,pH,7.321,7.1,7.47,0,0,Normal,28.731,77.277
2026-05-31,QT-001,WQS-001,WQS-001,DMA-01,Chlorine,mg/L,0.547,0.449,0.677,0,0,Normal,28.738,77.255
2026-05-31,QT-001,WQS-001,WQS-001,DMA-01,Conductivity,uS/cm,673.088,607.4,767.4,0,0,Normal,28.738,77.255
2026-05-31,QT-001,WQS-001,WQS-001,DMA-01,Temperature,C,28.229,26.4,29.8,0,0,Normal,28.738,77.255
2026-05-31,QT-001,WQS-001,WQS-001,DMA-01,Turbidity,NTU,0.878,0.64,1.14,0,0,Normal,28.738,77.255
2026-05-31,QT-001,WQS-001,WQS-001,DMA-01,pH,pH,7.318,7.16,7.55,0,0,Normal,28.738,77.255
2026-05-31,QT-002,WQS-002,WQS-002,DMA-02,Chlorine,mg/L,0.542,0.454,0.633,0,0,Normal,28.726,77.253
2026-05-31,QT-002,WQS-002,WQS-002,DMA-02,Conductivity,uS/cm,676.442,602.7,759.7,0,0,Normal,28.726,77.253
2026-05-31,QT-002,WQS-002,WQS-002,DMA-02,Temperature,C,28.183,26.4,30.4,0,0,Normal,28.726,77.253
2026-05-31,QT-002,WQS-002,WQS-002,DMA-02,Turbidity,NTU,0.906,0.54,1.26,0,0,Normal,28.726,77.253
2026-05-31,QT-002,WQS-002,WQS-002,DMA-02,pH,pH,7.305,7.13,7.44,0,0,Normal,28.726,77.253
2026-05-31,QT-003,WQS-003,WQS-003,DMA-03,Chlorine,mg/L,0.542,0.413,0.601,0,0,Normal,28.717,77.269
2026-05-31,QT-003,WQS-003,WQS-003,DMA-03,Conductivity,uS/cm,678.462,598.8,787.7,0,0,Normal,28.717,77.269
2026-05-31,QT-003,WQS-003,WQS-003,DMA-03,Temperature,C,28.225,26.3,29.8,0,0,Normal,28.717,77.269
2026-05-31,QT-003,WQS-003,WQS-003,DMA-03,Turbidity,NTU,0.945,0.6,1.26,0,0,Normal,28.717,77.269
2026-05-31,QT-003,WQS-003,WQS-003,DMA-03,pH,pH,7.31,7.05,7.53,0,0,Normal,28.717,77.269
2026-05-31,QT-004,WQS-004,WQS-004,DMA-04,Chlorine,mg/L,0.546,0.391,0.651,0,0,Normal,28.705,77.24
2026-05-31,QT-004,WQS-004,WQS-004,DMA-04,Conductivity,uS/cm,664.008,609.4,739.9,0,0,Normal,28.705,77.24
2026-05-31,QT-004,WQS-004,WQS-004,DMA-04,Temperature,C,28.175,26.2,30.1,0,0,Normal,28.705,77.24
2026-05-31,QT-004,WQS-004,WQS-004,DMA-04,Turbidity,NTU,0.911,0.66,1.16,0,0,Normal,28.705,77.24
2026-05-31,QT-004,WQS-004,WQS-004,DMA-04,pH,pH,7.271,7.13,7.41,0,0,Normal,28.705,77.24
2026-05-31,QT-005,WQS-005,WQS-005,DMA-05,Chlorine,mg/L,0.53,0.423,0.619,0,0,Normal,28.712,77.245
2026-05-31,QT-005,WQS-005,WQS-005,DMA-05,Conductivity,uS/cm,677.838,631.3,727.7,0,0,Normal,28.712,77.245
2026-05-31,QT-005,WQS-005,WQS-005,DMA-05,Temperature,C,28.275,26.7,29.9,0,0,Normal,28.712,77.245
2026-05-31,QT-005,WQS-005,WQS-005,DMA-05,Turbidity,NTU,0.901,0.59,1.17,0,0,Normal,28.712,77.245
2026-05-31,QT-005,WQS-005,WQS-005,DMA-05,pH,pH,7.314,7.18,7.43,0,0,Normal,28.712,77.245
2026-05-31,QT-006,WQS-006,WQS-006,DMA-06,Chlorine,mg/L,0.542,0.474,0.67,0,0,Normal,28.731,77.277
2026-05-31,QT-006,WQS-006,WQS-006,DMA-06,Conductivity,uS/cm,676.038,603.8,743.3,0,0,Normal,28.731,77.277
2026-05-31,QT-006,WQS-006,WQS-006,DMA-06,Temperature,C,28.204,26.7,29.9,0,0,Normal,28.731,77.277
2026-05-31,QT-006,WQS-006,WQS-006,DMA-06,Turbidity,NTU,0.919,0.68,1.23,0,0,Normal,28.731,77.277
2026-05-31,QT-006,WQS-006,WQS-006,DMA-06,pH,pH,7.307,7.14,7.49,0,0,Normal,28.731,77.277
2026-06-01,QT-001,WQS-001,WQS-001,DMA-01,Chlorine,mg/L,0.537,0.405,0.623,0,0,Normal,28.738,77.255
2026-06-01,QT-001,WQS-001,WQS-001,DMA-01,Conductivity,uS/cm,665.983,594.8,746.2,0,0,Normal,28.738,77.255
2026-06-01,QT-001,WQS-001,WQS-001,DMA-01,Temperature,C,28.246,26.5,29.9,0,0,Normal,28.738,77.255
2026-06-01,QT-001,WQS-001,WQS-001,DMA-01,Turbidity,NTU,0.887,0.57,1.2,0,0,Normal,28.738,77.255
2026-06-01,QT-001,WQS-001,WQS-001,DMA-01,pH,pH,7.323,7.19,7.5,0,0,Normal,28.738,77.255
2026-06-01,QT-002,WQS-002,WQS-002,DMA-02,Chlorine,mg/L,0.543,0.481,0.643,0,0,Normal,28.726,77.253
2026-06-01,QT-002,WQS-002,WQS-002,DMA-02,Conductivity,uS/cm,681.863,618.7,777.3,0,0,Normal,28.726,77.253
2026-06-01,QT-002,WQS-002,WQS-002,DMA-02,Temperature,C,28.121,26.3,29.9,0,0,Normal,28.726,77.253
2026-06-01,QT-002,WQS-002,WQS-002,DMA-02,Turbidity,NTU,0.94,0.72,1.3,0,0,Normal,28.726,77.253
2026-06-01,QT-002,WQS-002,WQS-002,DMA-02,pH,pH,7.268,7.09,7.43,0,0,Normal,28.726,77.253
2026-06-01,QT-003,WQS-003,WQS-003,DMA-03,Chlorine,mg/L,0.543,0.473,0.616,0,0,Normal,28.717,77.269
2026-06-01,QT-003,WQS-003,WQS-003,DMA-03,Conductivity,uS/cm,674.879,610.6,767.2,0,0,Normal,28.717,77.269
2026-06-01,QT-003,WQS-003,WQS-003,DMA-03,Temperature,C,28.188,26.3,29.8,0,0,Normal,28.717,77.269
2026-06-01,QT-003,WQS-003,WQS-003,DMA-03,Turbidity,NTU,0.902,0.64,1.22,0,0,Normal,28.717,77.269
2026-06-01,QT-003,WQS-003,WQS-003,DMA-03,pH,pH,7.28,7.13,7.44,0,0,Normal,28.717,77.269
2026-06-01,QT-004,WQS-004,WQS-004,DMA-04,Chlorine,mg/L,0.559,0.475,0.726,0,0,Normal,28.705,77.24
2026-06-01,QT-004,WQS-004,WQS-004,DMA-04,Conductivity,uS/cm,676.688,602.3,749.7,0,0,Normal,28.705,77.24
2026-06-01,QT-004,WQS-004,WQS-004,DMA-04,Temperature,C,28.267,26.7,30.1,0,0,Normal,28.705,77.24
2026-06-01,QT-004,WQS-004,WQS-004,DMA-04,Turbidity,NTU,0.881,0.61,1.27,0,0,Normal,28.705,77.24
2026-06-01,QT-004,WQS-004,WQS-004,DMA-04,pH,pH,7.31,7.11,7.44,0,0,Normal,28.705,77.24
2026-06-01,QT-005,WQS-005,WQS-005,DMA-05,Chlorine,mg/L,0.553,0.431,0.662,0,0,Normal,28.712,77.245
2026-06-01,QT-005,WQS-005,WQS-005,DMA-05,Conductivity,uS/cm,687.6,585.4,782.5,0,0,Normal,28.712,77.245
2026-06-01,QT-005,WQS-005,WQS-005,DMA-05,Temperature,C,28.238,26.4,30.1,0,0,Normal,28.712,77.245
2026-06-01,QT-005,WQS-005,WQS-005,DMA-05,Turbidity,NTU,0.963,0.69,1.36,0,0,Normal,28.712,77.245
2026-06-01,QT-005,WQS-005,WQS-005,DMA-05,pH,pH,7.281,7.16,7.48,0,0,Normal,28.712,77.245
2026-06-01,QT-006,WQS-006,WQS-006,DMA-06,Chlorine,mg/L,0.568,0.478,0.641,0,0,Normal,28.731,77.277
2026-06-01,QT-006,WQS-006,WQS-006,DMA-06,Conductivity,uS/cm,676.092,599.4,754.7,0,0,Normal,28.731,77.277
2026-06-01,QT-006,WQS-006,WQS-006,DMA-06,Temperature,C,28.25,26.4,29.9,0,0,Normal,28.731,77.277
2026-06-01,QT-006,WQS-006,WQS-006,DMA-06,Turbidity,NTU,0.908,0.54,1.22,0,0,Normal,28.731,77.277
2026-06-01,QT-006,WQS-006,WQS-006,DMA-06,pH,pH,7.267,7.1,7.45,0,0,Normal,28.731,77.277
2026-06-02,QT-001,WQS-001,WQS-001,DMA-01,Chlorine,mg/L,0.543,0.446,0.627,0,0,Normal,28.738,77.255
2026-06-02,QT-001,WQS-001,WQS-001,DMA-01,Conductivity,uS/cm,673.788,616.6,741.3,0,0,Normal,28.738,77.255
2026-06-02,QT-001,WQS-001,WQS-001,DMA-01,Temperature,C,28.371,26.9,30.4,0,0,Normal,28.738,77.255
2026-06-02,QT-001,WQS-001,WQS-001,DMA-01,Turbidity,NTU,0.859,0.54,1.13,0,0,Normal,28.738,77.255
2026-06-02,QT-001,WQS-001,WQS-001,DMA-01,pH,pH,7.327,7.21,7.5,0,0,Normal,28.738,77.255
2026-06-02,QT-002,WQS-002,WQS-002,DMA-02,Chlorine,mg/L,0.547,0.464,0.673,0,0,Normal,28.726,77.253
2026-06-02,QT-002,WQS-002,WQS-002,DMA-02,Conductivity,uS/cm,681.363,614.4,746.4,0,0,Normal,28.726,77.253
2026-06-02,QT-002,WQS-002,WQS-002,DMA-02,Temperature,C,28.396,26.6,30.1,0,0,Normal,28.726,77.253
2026-06-02,QT-002,WQS-002,WQS-002,DMA-02,Turbidity,NTU,0.93,0.6,1.21,0,0,Normal,28.726,77.253
2026-06-02,QT-002,WQS-002,WQS-002,DMA-02,pH,pH,7.297,7.13,7.43,0,0,Normal,28.726,77.253
2026-06-02,QT-003,WQS-003,WQS-003,DMA-03,Chlorine,mg/L,0.549,0.452,0.649,0,0,Normal,28.717,77.269
2026-06-02,QT-003,WQS-003,WQS-003,DMA-03,Conductivity,uS/cm,679.854,612.3,760.1,0,0,Normal,28.717,77.269
2026-06-02,QT-003,WQS-003,WQS-003,DMA-03,Temperature,C,28.292,26.2,30.0,0,0,Normal,28.717,77.269
2026-06-02,QT-003,WQS-003,WQS-003,DMA-03,Turbidity,NTU,0.892,0.6,1.14,0,0,Normal,28.717,77.269
2026-06-02,QT-003,WQS-003,WQS-003,DMA-03,pH,pH,7.302,7.12,7.46,0,0,Normal,28.717,77.269
2026-06-02,QT-004,WQS-004,WQS-004,DMA-04,Chlorine,mg/L,0.549,0.366,0.66,0,0,Normal,28.705,77.24
2026-06-02,QT-004,WQS-004,WQS-004,DMA-04,Conductivity,uS/cm,675.425,596.7,737.9,0,0,Normal,28.705,77.24
2026-06-02,QT-004,WQS-004,WQS-004,DMA-04,Temperature,C,28.312,26.9,30.2,0,0,Normal,28.705,77.24
2026-06-02,QT-004,WQS-004,WQS-004,DMA-04,Turbidity,NTU,0.894,0.66,1.17,0,0,Normal,28.705,77.24
2026-06-02,QT-004,WQS-004,WQS-004,DMA-04,pH,pH,7.286,7.13,7.49,0,0,Normal,28.705,77.24
2026-06-02,QT-005,WQS-005,WQS-005,DMA-05,Chlorine,mg/L,0.572,0.474,0.656,0,0,Normal,28.712,77.245
2026-06-02,QT-005,WQS-005,WQS-005,DMA-05,Conductivity,uS/cm,684.071,630.4,771.0,0,0,Normal,28.712,77.245
2026-06-02,QT-005,WQS-005,WQS-005,DMA-05,Temperature,C,28.158,26.6,30.0,0,0,Normal,28.712,77.245
2026-06-02,QT-005,WQS-005,WQS-005,DMA-05,Turbidity,NTU,0.91,0.42,1.26,0,0,Normal,28.712,77.245
2026-06-02,QT-005,WQS-005,WQS-005,DMA-05,pH,pH,7.311,7.14,7.47,0,0,Normal,28.712,77.245
